RAJ2000,DEJ2000,R,GCVS,RAJ2000,DEJ2000,VarType,l_Maxmag,Maxmag,n_Maxmag,l_Minmag,Minmag,n_Minmag,Names
0.4795833,-67.1286944, ,EF Tuc   ,00 01 55.10,-67 07 43.3,UG     , ,12.4,I, ,14.6,I,1RXS J0001-6707
1.5,-69, ,Tuc      ,00 06 00.00,-69 00 00.0,CV     , ,    , , ,    , ,CTCV J0006-6900
1.5415,55.98075, ,FI Cas   ,00 06 09.96,+55 58 50.7,UGSS   , ,15,p, ,18.5,p,230.194
2.7804167,30.5433333,*,V402 And ,00 11 07.30,+30 32 36.0,UGSU   , ,15.5,p, ,20.3,B,Antipin V62
2.8532083,-11.4786667, ,WW Cet   ,00 11 24.77,-11 28 43.2,UGZ:   , ,9.3,V, ,15.7,V,HV 8002/PHL 718
2.8879167,18.8301111,*,Peg1     ,00 11 33.10,+18 49 48.4,non-CV , ,    , , ,    , ,PG 0008+185
3.18125,52.7888889, ,Cas      ,00 12 43.50,+52 47 20.0,UG:    , ,13.8,v, ,19.5,v,LD 324
4.532625,57.4353056,*,DK Cas   ,00 18 07.83,+57 26 07.1,UGSS   , ,15.3,p, ,18.6,V,244.194
4.5620833,66.30375,*,V513 Cas ,00 18 14.90,+66 18 13.5,UGZ:   , ,15.5,p,<,17.2,p,MacC v4
4.7372083,34.9123056, ,And      ,00 18 56.93,+34 54 44.3,NL     , ,17.8,s, ,    , ,SDSS J001856+345444
4.78875,41.4616667,*,HP And   ,00 19 09.30,+41 27 42.0,UG:    , ,10.5,p,<,14.5,p,SVS 71
4.9580417,21.9478056,*,QR And   ,00 19 49.93,+21 56 52.1,CBSS   , ,12.2,V, ,    , ,RX J0019.8+2156
5.079625,-73.8689167,*,VW Tuc   ,00 20 19.11,-73 52 08.1,UG:    , ,15.4,p,<,16.5,p,HV 6327
5.2176667,55.7045, ,V592 Cas ,00 20 52.24,+55 42 16.2,UX     , ,12.8,V, ,    , ,LS I +55 08
5.3882083,-51.7096667,*,CM Phe   ,00 21 33.17,-51 42 34.8,NL?/CV , ,15.3,V, ,    , ,Phe1/JL 181
5.451875,35.0808889,*,And      ,00 21 48.45,+35 04 51.2,CV     , ,15,v, ,    , ,FBS 0019+348
5.740125,61.6855, ,Cas      ,00 22 57.63,+61 41 07.8,CV     , ,18,B, ,    , ,IGR J00234+6141
5.8652917,61.7746944,*,V410 Cas ,00 23 27.67,+61 46 28.9,NL/Z AN, ,15.5,p, ,18,p,S 10141
5.99725,-72.0774167,*,Tuc      ,00 23 59.34,-72 04 38.7,CV     , ,21.3,w, ,    , ,NGC 104-W85
6.0057083,-72.0783333,*,Tuc      ,00 24 01.37,-72 04 42.0,CV     , ,21.5,w, ,    , ,NGC 104-W82
6.0085833,-72.0950833,*,Tuc      ,00 24 02.06,-72 05 42.3,CV     , ,22.6,w, ,    , ,NGC 104-W56
6.0089583,-72.0806667,*,Tuc      ,00 24 02.15,-72 04 50.4,CV:    , ,21.7,w, ,    , ,NGC 104-W55
6.0103333,-72.0865278,*,Tuc      ,00 24 02.48,-72 05 11.5,CV     , ,22,w, ,    , ,NGC 104-W53
6.011625,-72.0803611,*,Tuc      ,00 24 02.79,-72 04 49.3,CV     , ,22.1,w, ,    , ,NGC 104-W51
6.0127917,-72.0798611,*,Tuc      ,00 24 03.07,-72 04 47.5,CV     , ,23.4,w, ,    , ,NGC 104-W49
6.0142083,-72.0830278,*,Tuc      ,00 24 03.41,-72 04 58.9,CV     , ,23.2,V, ,    , ,NGC 104-W44
6.0146667,-72.0730278,*,Tuc      ,00 24 03.52,-72 04 22.9,CV     , ,21.9,V, ,    , ,NGC 104-W45
6.01525,-72.0845833,*,Tuc      ,00 24 03.66,-72 05 04.5,CV:    , ,    , , ,    , ,NGC 104 CV
6.01575,-72.1060833,*,Tuc      ,00 24 03.78,-72 06 21.9,CV     , ,19,w, ,    , ,NGC 104-W122
6.0165833,-72.08275,*,Tuc      ,00 24 03.98,-72 04 57.9,CV     , ,19.9,V, ,    , ,NGC 104-W42
6.0192083,-72.1016667,*,Tuc      ,00 24 04.61,-72 06 06.0,CV:    , ,24.1,V, ,    , ,NGC 104 WF4-V16
6.0205833,-72.0796111,*,Tuc      ,00 24 04.94,-72 04 46.6,CV     , ,22.8,V, ,    , ,NGC 104-W34
6.020625,-72.082,*,Tuc      ,00 24 04.95,-72 04 55.2,UG:    , ,15.5,U, ,19.5,U,NGC 104 AKO9
