mjd,flux,err,trend1,trend2,zp,sector
58324.826232910156,217.42420140088166,3.281475621285006,222.7765539544977,222.7765539544977,20.44,1.0
58324.84704589844,214.04918150346094,5.07615579042107,217.17974555042466,217.17974555042466,20.44,1.0
58324.86785888672,217.02213898103665,6.2803299334168114,211.5829371463516,211.5829371463516,20.44,1.0
58324.888732910156,213.61112304227876,6.370481797118046,205.9861287422785,205.9861287422785,20.44,1.0
58324.90954589844,203.43363763054487,5.182998168244474,202.11142413120822,202.11142413120822,20.44,1.0
58324.93035888672,191.83902266722606,3.4089710210375697,203.28548742893236,203.28548742893236,20.44,1.0
58324.951232910156,184.52359597052066,2.424750506171932,202.7082607595687,202.7082607595687,20.44,1.0
58324.97204589844,190.30126912338977,2.8398926908687705,203.07789953097887,203.07789953097887,20.44,1.0
58324.99285888672,222.2676245875299,3.3397662695279706,206.11080445393083,206.11080445393083,20.44,1.0
58325.013732910156,212.98155229549104,3.951838958051381,214.49503210879192,214.49503210879192,20.44,1.0
58325.03454589844,216.1985944421499,4.221007876937769,222.5769420015793,222.5769420015793,20.44,1.0
58325.05535888672,224.66397209120842,4.073250448318031,231.12152403825033,231.12152403825033,20.44,1.0
58325.076232910156,250.52861625125388,3.178483460242619,236.19500385465324,236.19500385465324,20.44,1.0
58325.09704589844,241.09696522003242,2.8045710406371716,243.798429405617,243.798429405617,20.44,1.0
58325.11785888672,250.11334338008686,2.7880822489138564,250.54870938419583,250.54870938419583,20.44,1.0
58325.138732910156,257.7819833023504,3.5130728938997073,255.67610334219643,255.67610334219643,20.44,1.0
58325.15954589844,266.20553115223686,4.737231436235691,256.7463520521944,256.7463520521944,20.44,1.0
58325.18035888672,263.45055429220224,3.892108285698735,260.52280924502355,260.52280924502355,20.44,1.0
58325.201232910156,260.55572979721245,3.224558991650467,262.53715245388906,262.53715245388906,20.44,1.0
58325.22204589844,258.02035722124003,3.126310676070758,262.06504905264563,262.06504905264563,20.44,1.0
58325.24285888672,267.5321655698363,2.6175607494721387,261.6645135745886,261.6645135745886,20.44,1.0
58325.263732910156,264.2137458421454,2.9451087242556504,260.1274552042605,260.1274552042605,20.44,1.0
58325.28454589844,254.47725949364641,3.5160067333040725,258.94038943010986,258.94038943010986,20.44,1.0
58325.30535888672,263.4017828058377,3.298127863918331,257.03465104528914,257.03465104528914,20.44,1.0
58325.326232910156,252.69114569990563,3.3588275713099756,252.16055119807515,252.16055119807515,20.44,1.0
58325.34704589844,252.2462693781576,3.113844471329586,245.60568605106215,245.60568605106215,20.44,1.0
58325.36785888672,244.680188527495,3.2915110946758133,238.6615448914893,238.6615448914893,20.44,1.0
58325.388732910156,233.41346663933834,3.3189855206321877,232.50498026095295,232.50498026095295,20.44,1.0
58325.40954589844,218.32968981305416,3.9416361044247115,226.73078669304658,226.73078669304658,20.44,1.0
58325.43035888672,205.86827137663687,6.007740682928636,221.78186308105342,221.78186308105342,20.44,1.0
58325.451232910156,220.30583039208324,6.401649559198504,219.25978351325705,219.25978351325705,20.44,1.0
58325.472106933594,212.27179072456113,5.6833332125507985,218.6470658589993,218.6470658589993,20.44,1.0
58325.492919921875,217.60380409420526,4.904425651325223,219.44167370151564,219.44167370151564,20.44,1.0
